cid,Source,pid,utid,uid,Type,ApplicationDate,StartDate,EndDate,LeaseTerm,SignedDate,MoveInDate,MoveOutDate,lid
6,Source1,1111,111,1112,Renewal,2017-12-01,2017-12-01,2019-12-01,24,2017-12-01,2017-12-01,2019-12-01,20
6,Source1,1111,111,1112,Renewal,2019-12-01,2019-12-01,2021-12-01,24,2019-12-01,2019-12-01,,21
6,Source1,1111,111,1112,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,22
7,Source1,1111,111,1113,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,23
7,Source1,1111,111,1113,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,24
8,Source1,1111,111,1113,Application,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,25
8,Source1,1111,111,1113,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,26
8,Source1,1111,111,1113,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,27
9,Source1,1111,111,1113,Application,2017-06-01,2017-06-01,2018-12-01,18,2017-06-01,2017-06-01,2018-12-01,28
9,Source1,1111,111,1113,Renewal,2018-12-01,2018-12-01,2019-12-01,12,2018-12-01,2018-12-01,2019-12-01,29
10,Source1,1111,111,1113,Application,2019-12-01,2019-12-01,2020-12-01,12,2019-12-01,2019-12-01,2020-12-01,30
11,Source1,1111,111,1113,Application,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,31
12,Source1,1111,111,1114,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,32
12,Source1,1111,111,1114,Renewal,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,33
12,Source1,1111,111,1114,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,34
12,Source1,1111,111,1114,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,35
12,Source1,1111,111,1114,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,36
13,Source1,1111,111,1114,Application,2019-06-01,2019-06-01,2022-06-01,36,2019-06-01,2019-06-01,,37
14,Source1,1111,111,1115,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,38
14,Source1,1111,111,1115,Renewal,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,39
14,Source1,1111,111,1115,Renewal,2013-12-01,2013-12-01,2014-12-01,12,2013-12-01,2013-12-01,2014-12-01,40
14,Source1,1111,111,1115,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,41
14,Source1,1111,111,1115,Renewal,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,42
14,Source1,1111,111,1115,Renewal,2018-12-01,2018-12-01,2020-12-01,24,2018-12-01,2018-12-01,2020-12-01,43
14,Source1,1111,111,1115,Renewal,2020-12-01,2020-12-01,2021-12-01,12,2020-12-01,2020-12-01,,44
15,Source1,1111,111,1115,Application,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,45
16,Source1,1111,111,1116,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,46
16,Source1,1111,111,1116,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,47
16,Source1,1111,111,1116,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,48
17,Source1,1111,111,1116,Application,2016-06-01,2016-06-01,2019-06-01,36,2016-06-01,2016-06-01,2019-06-01,49
17,Source1,1111,111,1116,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,50
18,Source1,1111,111,1116,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,51
19,Source1,1111,111,1117,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,52
20,Source1,1111,111,1117,Application,2013-06-01,2013-06-01,2016-06-01,36,2013-06-01,2013-06-01,2016-06-01,53
21,Source1,1111,111,1117,Application,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,54
21,Source1,1111,111,1117,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,55
21,Source1,1111,111,1117,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,56
22,Source1,1111,111,1118,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,57
22,Source1,1111,111,1118,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,58
22,Source1,1111,111,1118,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,59
23,Source1,1111,111,1118,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,60
23,Source1,1111,111,1118,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,61
23,Source1,1111,111,1118,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,62
23,Source1,1111,111,1118,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,63
23,Source1,1111,111,1118,Renewal,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,64
23,Source1,1111,111,1118,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,65
24,Source1,1111,111,1119,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,66
25,Source1,1111,111,1119,Application,2012-06-01,2012-06-01,2015-06-01,36,2012-06-01,2012-06-01,2015-06-01,67
25,Source1,1111,111,1119,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,68
25,Source1,1111,111,1119,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,69
26,Source1,1111,111,1119,Application,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,70
26,Source1,1111,111,1119,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,71
27,Source1,1111,111,11110,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,72
27,Source1,1111,111,11110,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,73
28,Source1,1111,111,11110,Application,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,74
28,Source1,1111,111,11110,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,75
28,Source1,1111,111,11110,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,76
28,Source1,1111,111,11110,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,77
29,Source1,1111,111,11111,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,78
30,Source1,1111,111,11111,Application,2012-06-01,2012-06-01,2013-12-01,18,2012-06-01,2012-06-01,2013-12-01,79
30,Source1,1111,111,11111,Renewal,2013-12-01,2013-12-01,2015-12-01,24,2013-12-01,2013-12-01,2015-12-01,80
30,Source1,1111,111,11111,Renewal,2015-12-01,2015-12-01,2016-12-01,12,2015-12-01,2015-12-01,2016-12-01,81
31,Source1,1111,111,11111,Application,2016-12-01,2016-12-01,2018-06-01,18,2016-12-01,2016-12-01,2018-06-01,82
32,Source1,1111,111,11111,Application,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,83
33,Source1,1111,111,11111,Application,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,84
34,Source1,1111,111,11111,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,85
35,Source1,1111,111,11112,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,86
36,Source1,1111,111,11112,Application,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,87
37,Source1,1111,111,11112,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,88
37,Source1,1111,111,11112,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,89
38,Source1,1111,111,11112,Application,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,90
38,Source1,1111,111,11112,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,91
39,Source1,1111,111,11112,Application,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,92
40,Source1,1111,111,11113,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,93
40,Source1,1111,111,11113,Renewal,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,94
40,Source1,1111,111,11113,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,95
40,Source1,1111,111,11113,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,96
40,Source1,1111,111,11113,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,97
40,Source1,1111,111,11113,Renewal,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,98
41,Source1,1111,111,11113,Application,2020-06-01,2020-06-01,2021-12-01,18,2020-06-01,2020-06-01,,99
42,Source1,1111,111,11113,Application,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,100
43,Source1,1111,111,11114,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,101
43,Source1,1111,111,11114,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,102
44,Source1,1111,111,11114,Application,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,103
45,Source1,1111,111,11114,Application,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,104
45,Source1,1111,111,11114,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,105
45,Source1,1111,111,11114,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,106
46,Source1,1111,111,11114,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,107
47,Source1,1111,111,11115,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,108
48,Source1,1111,111,11115,Application,2011-06-01,2011-06-01,2014-06-01,36,2011-06-01,2011-06-01,2014-06-01,109
49,Source1,1111,111,11115,Application,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,110
49,Source1,1111,111,11115,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,111
50,Source1,1111,111,11115,Application,2018-06-01,2018-06-01,2019-12-01,18,2018-06-01,2018-06-01,2019-12-01,112
50,Source1,1111,111,11115,Renewal,2019-12-01,2019-12-01,2021-12-01,24,2019-12-01,2019-12-01,,113
50,Source1,1111,111,11115,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,114
51,Source1,1111,111,11116,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,115
51,Source1,1111,111,11116,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,116
51,Source1,1111,111,11116,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,117
51,Source1,1111,111,11116,Renewal,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,118
52,Source1,1111,111,11116,Application,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,119
52,Source1,1111,111,11116,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,120
53,Source1,1111,111,11116,Application,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,121
54,Source1,1111,111,11116,Application,2020-06-01,2020-06-01,2021-12-01,18,2020-06-01,2020-06-01,,122
54,Source1,1111,111,11116,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,123
55,Source1,1111,111,11117,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,124
55,Source1,1111,111,11117,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,125
55,Source1,1111,111,11117,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,126
55,Source1,1111,111,11117,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,127
56,Source1,1111,111,11117,Application,2017-06-01,2017-06-01,2020-06-01,36,2017-06-01,2017-06-01,2020-06-01,128
56,Source1,1111,111,11117,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,129
57,Source1,1111,111,11118,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,130
58,Source1,1111,111,11118,Application,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,131
59,Source1,1111,111,11118,Application,2014-06-01,2014-06-01,2017-06-01,36,2014-06-01,2014-06-01,2017-06-01,132
59,Source1,1111,111,11118,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,133
59,Source1,1111,111,11118,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,134
59,Source1,1111,111,11118,Renewal,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,135
60,Source1,1111,111,11118,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,136
61,Source1,1111,111,11119,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,137
61,Source1,1111,111,11119,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,138
61,Source1,1111,111,11119,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,139
61,Source1,1111,111,11119,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,140
61,Source1,1111,111,11119,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,141
62,Source1,1111,111,11119,Application,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,142
63,Source1,1111,111,11119,Application,2020-06-01,2020-06-01,2021-12-01,18,2020-06-01,2020-06-01,,143
63,Source1,1111,111,11119,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,144
64,Source1,1111,111,11120,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,145
65,Source1,1111,111,11120,Application,2011-12-01,2011-12-01,2013-06-01,18,2011-12-01,2011-12-01,2013-06-01,146
65,Source1,1111,111,11120,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,147
66,Source1,1111,111,11120,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,148
66,Source1,1111,111,11120,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,149
66,Source1,1111,111,11120,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,150
66,Source1,1111,111,11120,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,151
67,Source1,1111,111,11120,Application,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,152
68,Source1,1111,111,11120,Application,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,153
69,Source1,1111,111,11121,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,154
70,Source1,1111,111,11121,Application,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,155
70,Source1,1111,111,11121,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,156
71,Source1,1111,111,11121,Application,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,157
71,Source1,1111,111,11121,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,158
71,Source1,1111,111,11121,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,159
71,Source1,1111,111,11121,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,160
71,Source1,1111,111,11121,Renewal,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,161
71,Source1,1111,111,11121,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,162
72,Source1,1111,111,11122,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,163
72,Source1,1111,111,11122,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,164
72,Source1,1111,111,11122,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,165
73,Source1,1111,111,11122,Application,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,166
73,Source1,1111,111,11122,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,167
73,Source1,1111,111,11122,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,168
73,Source1,1111,111,11122,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,169
74,Source1,1111,111,11122,Application,2018-06-01,2018-06-01,2019-12-01,18,2018-06-01,2018-06-01,2019-12-01,170
75,Source1,1111,111,11122,Application,2019-12-01,2019-12-01,2021-12-01,24,2019-12-01,2019-12-01,,171
76,Source1,1111,111,11122,Application,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,172
77,Source1,1111,111,11123,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,173
77,Source1,1111,111,11123,Renewal,2011-12-01,2011-12-01,2012-12-01,12,2011-12-01,2011-12-01,2012-12-01,174
77,Source1,1111,111,11123,Renewal,2012-12-01,2012-12-01,2014-12-01,24,2012-12-01,2012-12-01,2014-12-01,175
77,Source1,1111,111,11123,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,176
77,Source1,1111,111,11123,Renewal,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,177
77,Source1,1111,111,11123,Renewal,2018-12-01,2018-12-01,2019-12-01,12,2018-12-01,2018-12-01,2019-12-01,178
77,Source1,1111,111,11123,Renewal,2019-12-01,2019-12-01,2020-12-01,12,2019-12-01,2019-12-01,2020-12-01,179
78,Source1,1111,111,11123,Application,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,180
79,Source1,1111,111,11124,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,181
80,Source1,1111,111,11124,Application,2011-06-01,2011-06-01,2013-06-01,24,2011-06-01,2011-06-01,2013-06-01,182
80,Source1,1111,111,11124,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,183
80,Source1,1111,111,11124,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,184
80,Source1,1111,111,11124,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,185
80,Source1,1111,111,11124,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,186
80,Source1,1111,111,11124,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,187
80,Source1,1111,111,11124,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,188
81,Source1,1111,111,11125,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,189
82,Source1,1111,111,11125,Application,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,190
83,Source1,1111,111,11125,Application,2013-12-01,2013-12-01,2015-06-01,18,2013-12-01,2013-12-01,2015-06-01,191
83,Source1,1111,111,11125,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,192
83,Source1,1111,111,11125,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,193
84,Source1,1111,111,11125,Application,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,194
84,Source1,1111,111,11125,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,195
85,Source1,1111,111,11126,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,196
85,Source1,1111,111,11126,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,197
85,Source1,1111,111,11126,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,198
86,Source1,1111,111,11126,Application,2015-06-01,2015-06-01,2016-12-01,18,2015-06-01,2015-06-01,2016-12-01,199
87,Source1,1111,111,11126,Application,2016-12-01,2016-12-01,2017-12-01,12,2016-12-01,2016-12-01,2017-12-01,200
87,Source1,1111,111,11126,Renewal,2017-12-01,2017-12-01,2018-12-01,12,2017-12-01,2017-12-01,2018-12-01,201
87,Source1,1111,111,11126,Renewal,2018-12-01,2018-12-01,2019-12-01,12,2018-12-01,2018-12-01,2019-12-01,202
87,Source1,1111,111,11126,Renewal,2019-12-01,2019-12-01,2021-12-01,24,2019-12-01,2019-12-01,,203
87,Source1,1111,111,11126,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,204
88,Source1,1111,111,11127,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,205
88,Source1,1111,111,11127,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,206
88,Source1,1111,111,11127,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,207
88,Source1,1111,111,11127,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,208
88,Source1,1111,111,11127,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,209
88,Source1,1111,111,11127,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,210
89,Source1,1111,111,11127,Application,2018-06-01,2018-06-01,2019-12-01,18,2018-06-01,2018-06-01,2019-12-01,211
90,Source1,1111,111,11127,Application,2019-12-01,2019-12-01,2021-06-01,18,2019-12-01,2019-12-01,2021-06-01,212
91,Source1,1111,111,11127,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,213
92,Source1,1111,111,11128,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,214
92,Source1,1111,111,11128,Renewal,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,215
93,Source1,1111,111,11128,Application,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,216
93,Source1,1111,111,11128,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,217
93,Source1,1111,111,11128,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,218
93,Source1,1111,111,11128,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,219
