cid,Source,pid,uid,workorder_type,ServiceRequestDate,ServiceCompleteDate,wid
782,Source1,4444,11115,Trash Removal,2022-04-08,2022-04-13,129
784,Source1,4444,11116,Cleaning,2022-04-14,2022-04-15,130
784,Source1,4444,11116,Windows,2022-03-04,2022-03-18,131
784,Source1,4444,11116,Clean Unit,2022-02-22,2022-02-23,132
784,Source1,4444,11116,Toilet,2022-01-15,2022-01-22,133
791,Source1,4444,11119,Sink,2022-05-23,2022-06-05,134
791,Source1,4444,11119,Shower Head,2022-05-25,2022-06-05,135
791,Source1,4444,11119,Tub or Shower,2022-03-14,2022-03-16,136
801,Source1,4444,11122,Faucet,2022-04-12,2022-04-26,137
801,Source1,4444,11122,Shower Head,2022-05-09,2022-05-10,138
819,Source1,4444,11128,Ceiling Fan,2022-03-31,2022-04-10,139
819,Source1,4444,11128,Thermostat,2022-01-21,2022-01-29,140
819,Source1,4444,11128,Shower Head,2022-03-17,2022-03-26,141
819,Source1,4444,11128,Trash Removal,2022-01-06,2022-01-19,142
832,Source1,4444,11131,Garage Remote,2022-04-20,2022-05-04,143
832,Source1,4444,11131,Doorbell,2022-05-15,2022-05-28,144
832,Source1,4444,11131,Carpet,2022-04-27,2022-05-11,145
832,Source1,4444,11131,Ceiling,2022-01-19,2022-01-22,146
836,Source1,4444,11132,Garbage Disposal,2022-01-11,2022-01-23,147
836,Source1,4444,11132,Sink,2021-12-15,2021-12-25,148
839,Source1,4444,11133,Under Sink,2022-02-18,2022-03-03,149
839,Source1,4444,11133,Other,2021-12-19,2021-12-25,150
839,Source1,4444,11133,Air Ducts or Vents,2022-03-14,2022-03-28,151
839,Source1,4444,11133,Shelves or Drawers,2022-01-10,2022-01-24,152
853,Source1,4444,11137,Washer,2022-04-16,2022-04-20,153
853,Source1,4444,11137,Thermostat,2022-05-27,2022-06-07,154
853,Source1,4444,11137,Shelves or Drawers,2022-01-08,2022-01-18,155
856,Source1,4444,11139,Ceiling,2022-02-07,2022-02-09,156
856,Source1,4444,11139,Paint,2022-05-14,2022-05-20,157
866,Source1,4444,11142,Dryer,2022-05-18,2022-05-29,158
866,Source1,4444,11142,Sink Stopper,2022-05-14,2022-05-23,159
866,Source1,4444,11142,Garbage Disposal,2022-04-28,2022-05-06,160
866,Source1,4444,11142,Dryer,2022-02-10,2022-02-16,161
877,Source1,4444,11145,Toilet,2022-02-13,2022-02-26,162
877,Source1,4444,11145,Cabinets,2022-01-06,2022-01-17,163
877,Source1,4444,11145,Washer,2021-12-19,2021-12-23,164
882,Source1,4444,11146,Trash Removal,2022-02-22,2022-02-23,165
882,Source1,4444,11146,Walls,2022-02-04,2022-02-08,166
891,Source1,4444,11149,Microwave,2022-02-09,2022-02-22,167
891,Source1,4444,11149,Other,2022-04-13,2022-04-22,168
891,Source1,4444,11149,Light Bulbs,2022-05-27,2022-05-30,169
923,Source1,5555,1118,Stove or Oven,2022-05-22,2022-06-04,170
923,Source1,5555,1118,Windows,2022-01-26,2022-02-07,171
923,Source1,5555,1118,Stove or Oven,2022-04-02,2022-04-14,172
925,Source1,5555,1119,Filter Replacement,2021-12-05,2021-12-10,173
925,Source1,5555,1119,Shower Head,2022-02-18,2022-02-23,174
958,Source1,5555,11119,Washer,2022-02-01,2022-02-04,175
958,Source1,5555,11119,Stove or Oven,2022-04-06,2022-04-07,176
958,Source1,5555,11119,Under Sink,2022-02-04,2022-02-06,177
965,Source1,5555,11121,Shelves or Drawers,2021-12-09,2021-12-13,178
965,Source1,5555,11121,Dishwasher,2022-03-23,2022-03-27,179
965,Source1,5555,11121,Light Bulbs,2021-12-21,2022-01-04,180
988,Source1,5555,11127,Cleaning,2021-12-05,2021-12-15,181
988,Source1,5555,11127,Switches,2021-12-26,2022-01-06,182
993,Source1,5555,11129,Sink Stopper,2022-03-22,2022-04-04,183
1003,Source1,5555,11132,Paint,2022-02-15,2022-02-23,184
1003,Source1,5555,11132,Drain,2022-03-25,2022-03-28,185
1031,Source1,5555,11141,Garbage Disposal,2022-03-25,2022-04-01,186
1047,Source1,5555,11145,Washer,2022-03-10,2022-03-12,187
1060,Source1,5555,11149,Thermostat,2022-03-03,2022-03-11,188
1060,Source1,5555,11149,Cabinet Doors,2022-03-04,2022-03-07,189
1073,Source1,5555,11154,Stove or Oven,2022-03-26,2022-04-05,190
1073,Source1,5555,11154,Faucet,2022-03-01,2022-03-04,191
1073,Source1,5555,11154,Cabinets,2022-01-03,2022-01-04,192
1085,Source1,5555,11157,Outlets,2021-12-06,2021-12-17,193
1095,Source1,5555,11160,Tub or Shower,2021-12-16,2021-12-29,194
1101,Source1,5555,11161,Stove or Oven,2022-05-09,2022-05-12,195
1101,Source1,5555,11161,Microwave,2022-01-07,2022-01-21,196
1101,Source1,5555,11161,Faucet,2021-12-28,2022-01-09,197
1101,Source1,5555,11161,Dryer,2022-02-15,2022-02-24,198
1146,Source1,5555,11176,Filter Replacement,2022-04-09,2022-04-12,199
1146,Source1,5555,11176,Windows,2021-12-01,2021-12-09,200
1146,Source1,5555,11176,Light Bulbs,2022-02-10,2022-02-19,201
1146,Source1,5555,11176,Walls,2022-01-07,2022-01-16,202
1150,Source1,5555,11177,Doorbell,2022-03-11,2022-03-18,203
1150,Source1,5555,11177,Ceiling Fan,2022-01-30,2022-02-11,204
1150,Source1,5555,11177,Filter Replacement,2022-03-04,2022-03-13,205
1174,Source1,5555,11184,Carpet,2022-05-05,2022-05-07,206
1174,Source1,5555,11184,Cabinet Doors,2022-03-03,2022-03-04,207
1174,Source1,5555,11184,Door Repair or Replace,2022-05-14,2022-05-23,208
1174,Source1,5555,11184,Ceiling Fan,2022-04-28,2022-04-30,209
1181,Source1,5555,11186,Pest Control,2022-03-16,2022-03-30,210
1185,Source1,5555,11187,Shelves or Drawers,2022-03-03,2022-03-09,211
1210,Source1,5555,11195,Heating,2022-04-09,2022-04-20,212
1210,Source1,5555,11195,Air Conditioning,2022-03-19,2022-04-02,213
1225,Source1,5555,11199,Stove or Oven,2022-01-25,2022-02-01,214
1237,Source1,6666,1113,Dishwasher,2022-01-02,2022-01-10,215
1237,Source1,6666,1113,Shower Head,2022-04-29,2022-05-01,216
1264,Source1,6666,11112,Towel Bar,2022-02-19,2022-02-24,217
1319,Source1,6666,11129,Thermostat,2022-04-22,2022-04-23,218
1319,Source1,6666,11129,Thermostat,2021-12-08,2021-12-10,219
1319,Source1,6666,11129,Door Repair or Replace,2022-02-27,2022-03-05,220
1319,Source1,6666,11129,Ceiling Fan,2022-04-12,2022-04-17,221
1331,Source1,6666,11132,Trash Removal,2022-02-08,2022-02-19,222
1331,Source1,6666,11132,Shelves or Drawers,2022-05-08,2022-05-21,223
1331,Source1,6666,11132,Other,2022-02-15,2022-02-25,224
1331,Source1,6666,11132,Under Sink,2021-12-31,2022-01-06,225
1342,Source1,6666,11135,Walls,2022-03-31,2022-04-14,226
1342,Source1,6666,11135,Paint,2022-03-04,2022-03-09,227
1342,Source1,6666,11135,Sink,2021-12-31,2022-01-01,228
1342,Source1,6666,11135,Sink Stopper,2022-03-24,2022-04-06,229
1353,Source1,6666,11138,Shower Head,2022-04-12,2022-04-16,230
1353,Source1,6666,11138,Switches,2021-12-25,2021-12-28,231
1382,Source1,6666,11148,Refrigerator,2022-01-16,2022-01-17,232
1382,Source1,6666,11148,Pest Control,2022-04-12,2022-04-24,233
1382,Source1,6666,11148,Faucet,2021-12-13,2021-12-16,234
1396,Source1,7777,1112,Carpet,2022-05-11,2022-05-16,235
1396,Source1,7777,1112,Drain,2022-01-09,2022-01-22,236
1396,Source1,7777,1112,Cleaning,2022-04-02,2022-04-11,237
1455,Source2,7777,11120,Cabinet Doors,2022-02-26,2022-03-08,238
1463,Source2,7777,11122,Faucet,2022-04-05,2022-04-17,239
1463,Source2,7777,11122,Cabinet Doors,2022-05-06,2022-05-17,240
1486,Source2,7777,11129,Cleaning,2022-04-02,2022-04-10,241
1486,Source2,7777,11129,Shower Head,2022-05-24,2022-05-29,242
1486,Source2,7777,11129,Switches,2022-01-29,2022-02-09,243
1517,Source2,7777,11138,Carpet,2022-03-24,2022-04-07,244
1525,Source2,7777,11141,Dishwasher,2022-01-08,2022-01-18,245
1525,Source2,7777,11141,Cleaning,2022-03-10,2022-03-14,246
1525,Source2,7777,11141,Air Conditioning,2021-12-15,2021-12-19,247
1525,Source2,7777,11141,Light Bulbs,2022-05-30,2022-06-13,248
1527,Source2,7777,11142,Air Conditioning,2022-05-11,2022-05-12,249
1527,Source2,7777,11142,Dryer,2022-02-08,2022-02-13,250
1527,Source2,7777,11142,Pest Control,2022-01-02,2022-01-03,251
1527,Source2,7777,11142,Carpet,2022-05-21,2022-05-26,252
1556,Source2,7777,11151,Stove or Oven,2022-02-01,2022-02-09,253
1556,Source2,7777,11151,Garbage Disposal,2022-05-02,2022-05-04,254
1556,Source2,7777,11151,Sink Stopper,2022-04-27,2022-05-05,255
1564,Source2,7777,11153,Paint,2022-04-03,2022-04-10,256
1564,Source2,7777,11153,Microwave,2022-04-08,2022-04-14,257
1564,Source2,7777,11153,Light Bulbs,2022-02-20,2022-03-06,258
1573,Source2,7777,11156,Drain,2022-03-31,2022-04-05,259
1576,Source2,7777,11157,Switches,2022-01-18,2022-01-29,260
1576,Source2,7777,11157,Light Bulbs,2022-03-20,2022-03-22,261
1594,Source2,8888,1110,Heating,2022-03-21,2022-04-01,262
1594,Source2,8888,1110,Thermostat,2022-02-12,2022-02-22,263
1594,Source2,8888,1110,Ceiling Fan,2022-03-18,2022-03-27,264
1594,Source2,8888,1110,Refrigerator,2022-03-24,2022-03-27,265
1600,Source2,8888,1112,Cabinets,2022-05-06,2022-05-16,266
1608,Source2,8888,1114,Garage Remote,2022-01-12,2022-01-18,267
1608,Source2,8888,1114,Toilet,2022-04-14,2022-04-21,268
1608,Source2,8888,1114,Shelves or Drawers,2022-01-13,2022-01-19,269
1608,Source2,8888,1114,Walls,2022-04-21,2022-04-23,270
1610,Source2,8888,1115,Washer,2022-02-06,2022-02-11,271
1610,Source2,8888,1115,Tub or Shower,2022-04-30,2022-05-02,272
1627,Source2,8888,11111,Light Bulbs,2022-01-05,2022-01-10,273
1642,Source2,8888,11116,Refrigerator,2021-12-17,2021-12-22,274
1642,Source2,8888,11116,Doorbell,2022-01-11,2022-01-20,275
1642,Source2,8888,11116,Lock or Interior Door,2022-01-04,2022-01-14,276
1642,Source2,8888,11116,Light Fixture,2022-01-12,2022-01-21,277
1664,Source2,8888,11123,Tub or Shower,2022-01-15,2022-01-16,278
1664,Source2,8888,11123,Faucet,2022-01-16,2022-01-22,279
1664,Source2,8888,11123,Garage Remote,2022-02-22,2022-03-06,280
1664,Source2,8888,11123,Towel Bar,2022-05-28,2022-06-06,281
1667,Source2,8888,11124,Windows,2022-05-04,2022-05-13,282
1684,Source2,8888,11131,Stove or Oven,2022-01-09,2022-01-14,283
1684,Source2,8888,11131,Stove or Oven,2022-03-23,2022-03-29,284
1690,Source2,8888,11133,Ceiling,2022-05-29,2022-06-11,285
1690,Source2,8888,11133,Ceiling Fan,2022-02-05,2022-02-14,286
1702,Source2,8888,11137,Faucet,2022-05-09,2022-05-22,287
1702,Source2,8888,11137,Drain,2022-01-14,2022-01-25,288
1702,Source2,8888,11137,Stove or Oven,2021-12-12,2021-12-13,289
1702,Source2,8888,11137,Sink Stopper,2022-02-14,2022-02-21,290
1723,Source2,8888,11145,Garage Remote,2022-05-04,2022-05-06,291
1723,Source2,8888,11145,Sink,2022-04-30,2022-05-07,292
1731,Source2,8888,11147,Tub or Shower,2022-01-05,2022-01-07,293
1731,Source2,8888,11147,Faucet,2022-02-26,2022-03-08,294
1739,Source2,8888,11150,Cabinet Doors,2022-01-12,2022-01-22,295
1745,Source2,8888,11152,Doorbell,2022-03-19,2022-03-20,296
1745,Source2,8888,11152,Paint,2022-04-16,2022-04-27,297
1763,Source2,8888,11157,Windows,2022-03-01,2022-03-09,298
1774,Source2,8888,11160,Garage Remote,2022-05-14,2022-05-25,299
1774,Source2,8888,11160,Stove or Oven,2021-12-12,2021-12-13,300
1797,Source2,9999,1112,Under Sink,2022-01-23,2022-02-06,301
1797,Source2,9999,1112,Light Fixture,2021-12-03,2021-12-12,302
1797,Source2,9999,1112,Washer,2022-05-25,2022-06-07,303
1797,Source2,9999,1112,Thermostat,2022-01-14,2022-01-23,304
1815,Source2,9999,1118,Garage Remote,2022-04-25,2022-04-26,305
1822,Source2,9999,11110,Towel Bar,2021-12-11,2021-12-24,306
1822,Source2,9999,11110,Doorbell,2021-12-07,2021-12-17,307
1828,Source2,9999,11113,Cleaning,2022-02-07,2022-02-12,308
1828,Source2,9999,11113,Lock or Exterior Door,2022-01-04,2022-01-09,309
1828,Source2,9999,11113,Drain,2022-04-23,2022-04-30,310
1828,Source2,9999,11113,Ceiling Fan,2022-02-07,2022-02-14,311
1833,Source2,9999,11115,Faucet,2022-04-15,2022-04-17,312
1867,Source2,9999,11125,Thermostat,2021-12-03,2021-12-06,313
1867,Source2,9999,11125,Shelves or Drawers,2022-05-14,2022-05-20,314
1867,Source2,9999,11125,Garbage Disposal,2021-12-06,2021-12-19,315
1867,Source2,9999,11125,Cleaning,2022-04-19,2022-04-27,316
1871,Source2,9999,11126,Air Ducts or Vents,2022-02-24,2022-02-28,317
1871,Source2,9999,11126,Refrigerator,2021-12-22,2021-12-24,318
1871,Source2,9999,11126,Lock or Interior Door,2021-12-04,2021-12-12,319
1871,Source2,9999,11126,Ceiling Fan,2022-03-15,2022-03-16,320
1877,Source2,9999,11128,Faucet,2022-02-15,2022-03-01,321
1877,Source2,9999,11128,Paint,2022-01-16,2022-01-18,322
1941,Source2,9999,11151,Sink,2021-12-29,2022-01-05,323
1947,Source2,9999,11153,Refrigerator,2022-05-14,2022-05-15,324
1947,Source2,9999,11153,Cabinets,2022-03-10,2022-03-21,325
1947,Source2,9999,11153,Dryer,2021-12-16,2021-12-27,326
1947,Source2,9999,11153,Cleaning,2021-12-27,2022-01-02,327
1950,Source2,9999,11154,Ceiling Fan,2022-04-11,2022-04-22,328
1950,Source2,9999,11154,Dishwasher,2022-05-26,2022-06-04,329
1958,Source2,9999,11158,Paint,2022-04-22,2022-04-27,330
1958,Source2,9999,11158,Clean Unit,2021-12-25,2021-12-31,331
1958,Source2,9999,11158,Clean Unit,2022-04-21,2022-04-22,332
1958,Source2,9999,11158,Refrigerator,2022-03-25,2022-03-26,333
2009,Source2,9999,11173,Shelves or Drawers,2021-12-03,2021-12-10,334
2009,Source2,9999,11173,Smoke Detector,2022-04-14,2022-04-23,335
2009,Source2,9999,11173,Ceiling Fan,2022-05-30,2022-06-05,336
2009,Source2,9999,11173,Sink,2022-05-12,2022-05-17,337
2072,Source2,1111,22216,Clean Unit,2021-12-27,2021-12-28,338
2072,Source2,1111,22216,Ceiling Fan,2021-12-22,2021-12-28,339
2072,Source2,1111,22216,Ceiling Fan,2022-01-24,2022-02-04,340
2072,Source2,1111,22216,Under Sink,2022-05-11,2022-05-21,341
2106,Source2,1111,22229,Refrigerator,2022-04-27,2022-05-06,342
2106,Source2,1111,22229,Air Ducts or Vents,2022-01-12,2022-01-18,343
2106,Source2,1111,22229,Trash Removal,2022-04-16,2022-04-24,344
2121,Source2,2222,2220,Lock or Interior Door,2022-01-02,2022-01-04,345
2121,Source2,2222,2220,Carpet,2022-04-08,2022-04-14,346
2131,Source2,2222,2223,Towel Bar,2021-12-15,2021-12-18,347
2131,Source2,2222,2223,Cabinets,2022-01-18,2022-01-26,348
2131,Source2,2222,2223,Heating,2022-05-19,2022-05-23,349
2131,Source2,2222,2223,Lock or Exterior Door,2022-05-20,2022-05-27,350
